valid_time,t2m_k,t2m_c
2000-01-01,298.34464,25.194641
2000-02-01,298.6794,25.529419
2000-03-01,299.36884,26.218842
2000-04-01,299.425,26.274994
2000-05-01,298.92285,25.772858
2000-06-01,297.70544,24.55545
2000-07-01,296.78702,23.637024
2000-08-01,296.69492,23.544922
2000-09-01,297.05682,23.90683
2000-10-01,297.44083,24.290833
2000-11-01,297.74368,24.593689
2000-12-01,297.68704,24.537048
2001-01-01,297.67975,24.529755
2001-02-01,298.71765,25.567657
2001-03-01,299.32248,26.172485
2001-04-01,299.30283,26.152832
2001-05-01,299.01028,25.86029
2001-06-01,297.69128,24.54129
2001-07-01,296.82285,23.672852
2001-08-01,296.73587,23.585876
2001-09-01,297.02158,23.871582
2001-10-01,297.70972,24.559723
2001-11-01,297.85895,24.708954
2001-12-01,298.1925,25.042511
2002-01-01,297.9882,24.838196
2002-02-01,299.0697,25.919708
2002-03-01,299.45255,26.302551
2002-04-01,299.3869,26.236908
2002-05-01,299.19296,26.042969
2002-06-01,297.94073,24.790741
2002-07-01,297.3488,24.198792
2002-08-01,296.89194,23.741943
2002-09-01,297.16772,24.01773
2002-10-01,297.46146,24.311462
2002-11-01,297.83002,24.680023
2002-12-01,298.0914,24.941406
2003-01-01,298.565,25.415009
2003-02-01,299.49893,26.348938
2003-03-01,299.8031,26.653107
2003-04-01,299.49847,26.34848
2003-05-01,299.08905,25.939056
2003-06-01,297.67297,24.52298
2003-07-01,297.04517,23.895172
2003-08-01,296.9558,23.805817
2003-09-01,297.3457,24.19571
2003-10-01,297.95358,24.803589
2003-11-01,298.17606,25.026062
2003-12-01,298.2394,25.089417
2004-01-01,298.77338,25.623383
2004-02-01,299.0581,25.908112
2004-03-01,299.7083,26.55832
2004-04-01,299.2055,26.055511
2004-05-01,298.77817,25.628174
2004-06-01,297.56894,24.418945
2004-07-01,296.86957,23.719574
2004-08-01,296.8861,23.736115
2004-09-01,297.32935,24.179352
2004-10-01,297.7628,24.612793
2004-11-01,297.9993,24.849304
2004-12-01,298.27234,25.122345
2005-01-01,298.63818,25.48819
2005-02-01,300.10773,26.957733
2005-03-01,300.0159,26.865906
2005-04-01,299.891,26.740997
2005-05-01,298.78125,25.631256
2005-06-01,297.6492,24.499207
2005-07-01,296.92633,23.776337
2005-08-01,296.87582,23.72583
2005-09-01,297.43793,24.287933
